epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8087,2.75754,5.70534,3.50542,0.00139,1,0.02277,0.00659,2.60129,6.85281,3.55423,1.667e-05,1.667e-05,1.667e-05
2,58.2324,1.92376,4.76499,2.45556,0.00136,1,0.03093,0.00937,2.50637,6.88056,3.41911,4.90198e-05,4.90198e-05,4.90198e-05
3,80.2721,2.94119,4.25506,3.34422,0.00133,1,0.04539,0.0154,2.25213,6.88149,3.17857,8.00493e-05,8.00493e-05,8.00493e-05
4,104.045,2.50909,4.64488,2.83702,0.00129,1,0.09027,0.03854,2.46114,7.52358,3.17567,0.000109759,0.000109759,0.000109759
5,125.843,1.72294,4.1494,2.23004,0.00125,1,0.09842,0.04424,2.51703,7.47033,2.98901,0.000138148,0.000138148,0.000138148
6,148.888,1.71556,4.17494,2.22943,0.00125,1,0.15726,0.07572,2.2342,7.10168,2.58585,0.000165216,0.000165216,0.000165216
7,172.125,0.7149,11.3065,0.86345,0.00124,1,0.11852,0.06168,1.63828,6.48674,2.16195,0.000190965,0.000190965,0.000190965
8,193.066,1.33069,3.36198,1.61123,0.00122,1,0.11338,0.06858,1.45761,6.25431,2.13057,0.000215393,0.000215393,0.000215393
9,216.135,0.82062,9.78786,0.92451,0.00122,1,0.10193,0.05081,1.38024,5.99261,2.06445,0.000238501,0.000238501,0.000238501
10,238.904,0.78073,9.52115,0.93541,0.00121,1,0.08118,0.04559,1.29835,6.29177,2.03475,0.000260289,0.000260289,0.000260289
11,261.766,0.87325,9.74139,0.99189,0.0012,1,0.06375,0.03466,1.48408,6.14811,2.10957,0.000280756,0.000280756,0.000280756
12,285.184,1.59501,4.19714,1.95742,0.0012,1,0.05769,0.0363,1.5643,6.44036,2.22,0.000299903,0.000299903,0.000299903
13,308.107,0.66588,9.52348,0.87864,0.00117,1,0.05649,0.03593,1.60232,6.56629,2.23017,0.00031773,0.00031773,0.00031773
14,330.799,1.36915,4.28335,1.55056,0.00115,1,0.05771,0.02076,1.7419,6.25613,2.26378,0.000334237,0.000334237,0.000334237
15,352.225,0.66108,10.1231,0.82982,0.00112,1,0.08136,0.02358,1.9288,6.47742,2.33492,0.000349423,0.000349423,0.000349423
16,374.15,1.53129,5.43511,1.63474,0.00112,1,0.07027,0.02373,2.04858,6.59693,2.39832,0.000363289,0.000363289,0.000363289
17,395.13,1.55023,4.46729,1.93309,0.00111,1,0.06767,0.02664,1.94837,6.89282,2.21019,0.000375835,0.000375835,0.000375835
18,416.915,0.60225,9.30765,0.73808,0.00111,1,0.08412,0.02911,2.04443,7.13442,2.15804,0.000387061,0.000387061,0.000387061
19,438.013,1.27541,3.85863,1.53306,0.00111,1,0.08662,0.02301,2.07289,7.45473,2.14408,0.000396966,0.000396966,0.000396966
20,462.864,1.55155,5.1643,2.12079,0.00111,1,0.07851,0.01965,1.9716,7.70296,2.14736,0.000405551,0.000405551,0.000405551
21,487.36,0.52394,9.46988,0.74066,0.00111,1,0.07291,0.02145,1.94504,7.29043,2.20647,0.000412816,0.000412816,0.000412816
22,508.601,0.79135,2.69319,1.09652,0.00111,1,0.08037,0.02417,2.07443,7.4121,2.35647,0.00041876,0.00041876,0.00041876
23,531.23,1.24619,3.05966,1.58378,0.00111,1,0.0647,0.02196,1.96332,6.87348,2.36487,0.000423385,0.000423385,0.000423385
24,553.989,1.46666,4.41487,1.81505,0.00111,1,0.09884,0.03711,1.9883,6.97413,2.46159,0.000426689,0.000426689,0.000426689
25,576.827,1.0128,3.02518,1.39024,0.00112,1,0.08544,0.03473,1.92011,6.93196,2.43871,0.000428672,0.000428672,0.000428672
26,599.726,1.35328,4.03789,1.4728,0.00112,1,0.10774,0.05202,2.01163,7.11037,2.58742,0.000429336,0.000429336,0.000429336
